group,image1,image2,label
P,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Paul_McNulty/Paul_McNulty_10201.jpg,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Paul_McNulty/Paul_McNulty_1173.jpg,1
C,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Claudia_Pechstein/Claudia_Pechstein_11449.jpg,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Claudia_Pechstein/Claudia_Pechstein_12593.jpg,1
C,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Claudia_Pechstein/Claudia_Pechstein_12593.jpg,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Claudia_Pechstein/Claudia_Pechstein_12687.jpg,1
C,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Claudia_Pechstein/Claudia_Pechstein_12687.jpg,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Claudia_Pechstein/Claudia_Pechstein_2566.jpg,1
C,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Claudia_Pechstein/Claudia_Pechstein_2566.jpg,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Claudia_Pechstein/Claudia_Pechstein_3420.jpg,1
R,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Ranil_Wickremasinghe/Ranil_Wickremasinghe_11545.jpg,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Ranil_Wickremasinghe/Ranil_Wickremasinghe_7852.jpg,1
R,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Ranil_Wickremasinghe/Ranil_Wickremasinghe_7852.jpg,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Ranil_Wickremasinghe/Ranil_Wickremasinghe_996.jpg,1
M,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Mary-Kate_Olsen/Mary-Kate_Olsen_13122.jpg,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Mary-Kate_Olsen/Mary-Kate_Olsen_4613.jpg,1
M,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Mary-Kate_Olsen/Mary-Kate_Olsen_4613.jpg,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Mary-Kate_Olsen/Mary-Kate_Olsen_9003.jpg,1
P,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Phil_Mickelson/Phil_Mickelson_10651.jpg,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Phil_Mickelson/Phil_Mickelson_8282.jpg,1
S,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Salma_Hayek/Salma_Hayek_11851.jpg,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Salma_Hayek/Salma_Hayek_11947.jpg,1
S,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Salma_Hayek/Salma_Hayek_11947.jpg,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Salma_Hayek/Salma_Hayek_12032.jpg,1
S,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Salma_Hayek/Salma_Hayek_12032.jpg,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Salma_Hayek/Salma_Hayek_12686.jpg,1
S,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Salma_Hayek/Salma_Hayek_12686.jpg,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Salma_Hayek/Salma_Hayek_13044.jpg,1
S,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Salma_Hayek/Salma_Hayek_13044.jpg,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Salma_Hayek/Salma_Hayek_2314.jpg,1
S,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Salma_Hayek/Salma_Hayek_2314.jpg,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Salma_Hayek/Salma_Hayek_2582.jpg,1
S,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Salma_Hayek/Salma_Hayek_2582.jpg,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Salma_Hayek/Salma_Hayek_3582.jpg,1
S,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Salma_Hayek/Salma_Hayek_3582.jpg,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Salma_Hayek/Salma_Hayek_6237.jpg,1
S,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Salma_Hayek/Salma_Hayek_6237.jpg,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Salma_Hayek/Salma_Hayek_7314.jpg,1
S,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Salma_Hayek/Salma_Hayek_7314.jpg,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Salma_Hayek/Salma_Hayek_7668.jpg,1
S,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Salma_Hayek/Salma_Hayek_7668.jpg,/Users/khalidadnanalsayed/Desktop/fairness_metric_disagreement/data/raw/lfw/Salma_Hayek/Salma_Hayek_8251.jpg,1
